"","Package","Version","License","Built"
"191","KEGGREST","1.44.1","Artistic-2.0","4.4.1"
"192","knitr","1.48","GPL","4.4.1"
"193","labeling","0.4.3","MIT + file LICENSE | Unlimited","4.4.1"
"194","labelled","2.13.0","GPL (>= 3)","4.4.1"
"195","lambda.r","1.2.4","LGPL-3","4.4.1"
"196","later","1.3.2","MIT + file LICENSE","4.4.1"
"197","lazyeval","0.2.2","GPL-3","4.4.1"
"198","leiden","0.4.3.1","GPL-3 | file LICENSE","4.4.1"
"199","lifecycle","1.0.4","MIT + file LICENSE","4.4.1"
"200","limma","3.60.4","GPL (>=2)","4.4.1"
"201","listenv","0.9.1","LGPL (>= 2.1)","4.4.1"
"202","lmtest","0.9-40","GPL-2 | GPL-3","4.4.1"
"203","locfit","1.5-9.10","GPL (>= 2)","4.4.1"
"204","lubridate","1.9.3","GPL (>= 2)","4.4.1"
"205","lumi","2.56.0","LGPL (>= 2)","4.4.1"
"206","lumiHumanIDMapping","1.10.1","The Artistic License, Version 2.0","4.4.1"
"207","magrittr","2.0.3","MIT + file LICENSE","4.4.1"
"208","MatrixGenerics","1.16.0","Artistic-2.0","4.4.1"
"209","matrixStats","1.3.0","Artistic-2.0","4.4.1"
"210","mclust","6.1.1","GPL (>= 2)","4.4.1"
"211","memoise","2.0.1","MIT + file LICENSE","4.4.1"
"212","metapod","1.12.0","GPL-3","4.4.1"
"213","methylumi","2.50.0","GPL-2","4.4.1"
"214","mime","0.12","GPL","4.4.1"
"215","minfi","1.50.0","Artistic-2.0","4.4.1"
"216","miniUI","0.1.1.1","GPL-3","4.4.1"
"217","modelr","0.1.11","GPL-3","4.4.1"
"218","msigdbr","7.5.1","MIT + file LICENSE","4.4.1"
"219","multtest","2.60.0","LGPL","4.4.1"
"220","munsell","0.5.1","MIT + file LICENSE","4.4.1"
"221","nleqslv","3.3.5","GPL (>= 2)","4.4.1"
"222","nor1mix","1.3-3","GPL (>= 2)","4.4.1"
"223","oligo","1.68.2","LGPL (>= 2)","4.4.1"
"224","oligoClasses","1.66.0","GPL (>= 2)","4.4.1"
"225","openssl","2.2.0","MIT + file LICENSE","4.4.1"
"226","org.Hs.eg.db","3.19.1","Artistic-2.0","4.4.1"
"227","OrganismDbi","1.46.0","Artistic-2.0","4.4.1"
"228","parallelly","1.37.1","LGPL (>= 2.1)","4.4.1"
